game,price,tag,has_deluxe,is_combo,combo_list,deluxe_price,is_online,is_featured,price_mode,real_price,has_key,key_price,key_region
Ghostwire: Tokyo Deluxe Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,795,EU
Sea of Thieves (PC / Xbox One / Xbox Series X|S) Microsoft Store Key - ROW (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,232,GLOBAL
RPGolf Legends (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,93,ARGENTINA
WeakWood Throne (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,53,ARGENTINA
Alchemist Simulator (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,74,ARGENTINA
Sniper Elite V2 Remastered (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,105,ARGENTINA
South of Midnight (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,377,GLOBAL
PAYDAY 3 SILVER EDITION (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,732,ARGENTINA
NINJA GAIDEN 4 (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,553,GLOBAL
Call of Duty: Black Ops 7 - Vault Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,842,GLOBAL
Age of Empires III: Definitive Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,143,EU
South of Midnight Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,403,GLOBAL
Forza Horizon 5 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,311,BRAZIL
Ashen (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,134,EU
Conan Exiles (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,465,UNITED STATES
Luxury Garden Bundle (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,252,ARGENTINA
Adios (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,94,ARGENTINA
Marvel's Guardians of the Galaxy (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,167,ARGENTINA
Sifu (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,169,EU
Deathloop Deluxe Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,795,EU
Marvel vs. Capcom: Infinite (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,105,ARGENTINA
Guardian of Lore (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,79,ARGENTINA
Crackdown 3 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,94,UNITED STATES
Sea of Thieves (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,213,UNITED STATES
Crackdown 3 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,96,EU
Forza Motorsport 7 Ultimate Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,878,EU
Children of Morta: Complete Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,86,ARGENTINA
Indiana Jones and the Great Circle (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,649,GLOBAL
Indiana Jones and the Great Circle: Premium Edition (PC / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,853,GLOBAL
Wo Long: Fallen Dynasty Digital Deluxe Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,439,ARGENTINA
Forza Horizon 5 Premium Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,507,GLOBAL
Road 96: Mile 0 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,150,UNITED STATES
Deep Rock Galactic (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,326,UNITED STATES
Marvel vs. Capcom: Infinite (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,113,EU
Palworld (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,326,UNITED STATES
Microsoft Flight Simulator 40th Anniversary Edition (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,727,ARGENTINA
Streets of Rage 4 (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,188,EU
Remnant: From the Ashes (PC / Xbox One / Xbox Series X|S),0,,False,False,,0,False,False,p3,0,True,383,UNITED STATES
